Case,request_preparation,attribute_fetching,evaluation,total
best_case,"9,33","8,23","0,07","17,63"
best_case,"8,94","7,60","0,07","16,61"
best_case,"9,26","7,56","0,08","16,91"
best_case,"9,01","7,98","0,08","17,08"
best_case,"9,38","8,07","0,10","17,56"
best_case,"8,89","9,02","0,08","17,99"
best_case,"8,86","7,62","0,06","16,54"
best_case,"9,47","8,12","0,11","17,70"
best_case,"9,88","7,77","0,10","17,75"
best_case,"9,93","8,83","0,09","18,85"
average_case,"9,25","8,96","10,52","28,72"
average_case,"9,10","7,21","10,11","26,42"
average_case,"9,33","6,92","10,44","26,69"
average_case,"8,88","7,36","10,02","26,26"
average_case,"8,85","7,24","10,19","26,28"
average_case,"8,80","7,32","10,00","26,12"
average_case,"9,07","7,33","9,85","26,26"
average_case,"9,05","8,19","9,91","27,16"
average_case,"8,92","7,21","9,86","25,99"
average_case,"8,90","7,49","11,17","27,57"
worst_case,"9,29","7,72","21,21","38,23"
worst_case,"8,81","7,13","19,84","35,78"
worst_case,"8,84","7,01","20,36","36,22"
worst_case,"9,04","7,91","20,46","37,42"
worst_case,"10,36","8,55","20,72","39,63"
worst_case,"8,90","6,74","19,72","35,36"
worst_case,"8,73","7,10","20,08","35,91"
worst_case,"8,92","6,84","20,47","36,22"
worst_case,"8,87","7,04","19,73","35,64"
worst_case,"9,40","8,45","21,16","39,01"
